lon,lat,age (Ma),label,source
-137.62,62.43,77.0,positive,Diaz-Rodriguez et al. 2021
-126.34,54.75,77.0,positive,Diaz-Rodriguez et al. 2021
-123.63,51.46,79.0,positive,Diaz-Rodriguez et al. 2021
-133.75,60.99,80.0,positive,Diaz-Rodriguez et al. 2021
-123.37,51.04,80.0,positive,Diaz-Rodriguez et al. 2021
-123.42,51.08,80.0,positive,Diaz-Rodriguez et al. 2021
-117.95,38.78,81.0,positive,Diaz-Rodriguez et al. 2021
-127.18,53.68,82.0,positive,Diaz-Rodriguez et al. 2021
-155.83,66.18,82.0,positive,Diaz-Rodriguez et al. 2021
-127.23,53.53,85.0,positive,Diaz-Rodriguez et al. 2021
-106.37,24.9,85.0,positive,Diaz-Rodriguez et al. 2021
-108.39,29.4,86.0,positive,Diaz-Rodriguez et al. 2021
-123.4,51.1,86.0,positive,Diaz-Rodriguez et al. 2021
-123.35,51.1,87.0,positive,Diaz-Rodriguez et al. 2021
-123.39,51.09,87.0,positive,Diaz-Rodriguez et al. 2021
-117.05,40.61,88.0,positive,Diaz-Rodriguez et al. 2021
-120.38,48.61,89.0,positive,Diaz-Rodriguez et al. 2021
-150.03,65.27,89.0,positive,Diaz-Rodriguez et al. 2021
-117.22,40.42,89.0,positive,Diaz-Rodriguez et al. 2021
-127.69,54.85,89.0,positive,Diaz-Rodriguez et al. 2021
-127.94,54.84,89.0,positive,Diaz-Rodriguez et al. 2021
-155.28,59.9,90.0,positive,Diaz-Rodriguez et al. 2021
-108.39,29.4,91.0,positive,Diaz-Rodriguez et al. 2021
-115.13,35.48,94.0,positive,Diaz-Rodriguez et al. 2021
-120.48,49.63,97.0,positive,Diaz-Rodriguez et al. 2021
-120.85,40.2,100.0,positive,Diaz-Rodriguez et al. 2021
-138.61,62.53,103.0,positive,Diaz-Rodriguez et al. 2021
-142.87,63.67,103.0,positive,Diaz-Rodriguez et al. 2021
-142.99,63.61,103.0,positive,Diaz-Rodriguez et al. 2021
-143.8,64.21,103.0,positive,Diaz-Rodriguez et al. 2021
-138.56,62.72,105.0,positive,Diaz-Rodriguez et al. 2021
-118.43,38.62,105.0,positive,Diaz-Rodriguez et al. 2021
-118.08,38.49,105.0,positive,Diaz-Rodriguez et al. 2021
-143.93,64.23,106.0,positive,Diaz-Rodriguez et al. 2021
-143.89,64.23,106.0,positive,Diaz-Rodriguez et al. 2021
-137.09,62.27,108.0,positive,Diaz-Rodriguez et al. 2021
-115.0,39.26,110.0,positive,Diaz-Rodriguez et al. 2021
-125.3,55.5,121.0,positive,Diaz-Rodriguez et al. 2021
-124.96,55.11,134.0,positive,Diaz-Rodriguez et al. 2021
-114.77,41.77,150.0,positive,Diaz-Rodriguez et al. 2021
-127.62,50.26,154.0,positive,Diaz-Rodriguez et al. 2021
-119.24,39.05,161.0,positive,Diaz-Rodriguez et al. 2021
-113.39,28.06,165.0,positive,Diaz-Rodriguez et al. 2021
-120.18,49.67,166.0,positive,Diaz-Rodriguez et al. 2021
-119.2,38.98,167.0,positive,Diaz-Rodriguez et al. 2021
-127.51,50.61,167.0,positive,Diaz-Rodriguez et al. 2021
-127.46,50.6,167.0,positive,Diaz-Rodriguez et al. 2021
-127.52,50.63,167.0,positive,Diaz-Rodriguez et al. 2021
-127.39,50.59,167.0,positive,Diaz-Rodriguez et al. 2021
